Zahlungs_Id;Bestell_Id;Zahlungsdatum;Betrag;Zahlungsmethode
1;7800174;03.07.2025 22:39;109.99;Bar
2;7800175;16.07.2025 07:08;55.90;Kreditkarte
3;7800176;12.05.2025 07:18;55.91;Lastschrift
4;7800177;08.06.2025 07:29;55.92;Nachnahme
5;7800178;12.05.2025 00:27;55.93;Rechnung
6;7800179;21.06.2025 12:49;55.94;Kryptowährung
7;7800180;04.07.2025 12:31;55.95;Bar
8;7800181;23.06.2025 14:42;109.99;Kreditkarte
9;7800182;08.06.2025 12:41;55.91;Lastschrift
10;7800183;10.05.2025 00:18;55.92;Nachnahme
11;7800184;09.06.2025 09:38;55.93;Rechnung
12;7800185;02.06.2025 22:30;55.94;Kryptowährung
13;7800186;30.06.2025 20:11;55.95;Bar
14;7800187;17.05.2025 13:15;55.96;Kreditkarte
15;7800188;22.07.2025 09:03;55.97;Lastschrift
16;7800189;03.07.2025 04:19;55.98;Nachnahme
17;7800190;16.07.2025 11:59;55.99;Rechnung
18;7800191;17.06.2025 16:34;55.100;Kryptowährung
19;7800192;16.06.2025 22:59;55.101;Lastschrift
20;7800193;10.05.2025 08:38;55.102;Nachnahme
21;7800194;23.05.2025 07:07;55.103;Rechnung
22;7800195;22.07.2025 07:21;55.104;Kryptowährung
23;7800196;23.07.2025 16:07;55.105;Lastschrift
24;7800197;24.05.2025 07:26;55.92;Nachnahme
25;7800198;06.06.2025 07:10;55.93;Rechnung
26;7800199;20.06.2025 18:17;17.44;Kreditkarte
27;7800200;08.06.2025 10:57;99.99;Kreditkarte
28;7800201;20.07.2025 12:01;55.94;Kreditkarte
29;7800202;22.06.2025 00:38;55.95;Kreditkarte
30;7800203;05.06.2025 15:57;17.45;Kreditkarte
31;7800204;20.06.2025 01:06;99.100;Kreditkarte
32;7800205;28.05.2025 22:21;55.96;Kreditkarte
33;7800206;04.05.2025 20:19;55.97;Kreditkarte
34;7800207;10.07.2025 23:38;17.46;Kreditkarte
35;7800208;31.05.2025 00:41;99.101;Kreditkarte
36;7800209;20.07.2025 00:09;55.98;Kreditkarte
37;7800210;29.06.2025 21:22;55.99;Kreditkarte
38;7800211;25.05.2025 05:15;17.47;Kreditkarte
39;7800212;01.07.2025 05:51;99.10;Lastschrift
40;7800213;14.06.2025 20:24;55.100;Nachnahme
41;7800214;11.05.2025 14:43;55.101;Rechnung
42;7800215;08.07.2025 11:41;17.48;Kryptowährung
43;7800216;17.07.2025 19:53;99.11;Lastschrift
44;7800217;23.05.2025 12:58;55.102;Nachnahme
45;7800218;30.06.2025 19:42;55.103;Rechnung
46;7800219;22.05.2025 20:22;17.49;Kryptowährung
47;7800220;12.07.2025 08:47;99.12;Lastschrift
48;7800221;18.05.2025 12:16;55.104;Nachnahme
49;7800222;30.06.2025 05:02;55.105;Rechnung
50;7800223;20.07.2025 01:21;17.50;Kryptowährung
51;7800224;03.07.2025 22:39;99.13;Kryptowährung
52;7800225;16.07.2025 07:08;55.106;Kryptowährung
53;7800226;12.05.2025 07:18;55.107;Kryptowährung
54;7800227;08.06.2025 07:29;17.51;Kryptowährung
55;7800228;12.05.2025 00:27;99.14;Lastschrift
56;7800229;21.06.2025 12:49;55.108;Nachnahme
57;7800230;04.07.2025 12:31;55.109;Rechnung
58;7800231;23.06.2025 14:42;17.52;Kryptowährung
59;7800232;08.06.2025 12:41;99.15;Lastschrift
60;7800233;10.05.2025 00:18;55.110;Nachnahme
61;7800234;09.06.2025 09:38;55.111;Lastschrift
62;7800235;02.06.2025 22:30;17.53;Nachnahme
63;7800236;30.06.2025 20:11;99.16;Rechnung
64;7800237;17.05.2025 13:15;55.112;Kryptowährung
65;7800238;22.07.2025 09:03;55.113;Lastschrift
66;7800239;03.07.2025 04:19;17.54;Nachnahme
67;7800240;16.07.2025 11:59;99.17;Rechnung
68;7800241;17.06.2025 16:34;55.114;Kryptowährung
